1, Take a picture of a stranger in a public transport or shop.
2, Take a picture of your socks for a day.
3, Take a picture of a random bug.
4, Recreate any music album cover you fancy.
5, Take a picture of the view from your home or work.
6, Take a picture of your lunch.
7, Take a picture of any river , lake or sea from your town.
8, Take a picture of your favorite building in your city.
9, Take a picture of a cat!
10, Take a group/individual picture with an elderly person.
11, Take a picture of a drunk person.
12, Take a picture of highest building you've seen today.
13, Take a picture of a flower.
14, Take a picture of your friend or family member.
15, Take a picture of with a dominant blue color.
16, Take a picture of with a donut.
17, Recreate one of your childhood photos.
18, Take a picture of your favorite sweater, T-shirt or jacket.
19, Take a picture of a taxi car.
20, Take a picture of a cool graffiti.
21, Take a picture of an art object (painting, sculpture, monument).
22, Take a picture of advertisment on the street.
23, Take a picture of a street sign.
24, Take a picture of another person on a phone.
25, Take a picture of the most stylish outfit you've seen.
26, Take a picture of from above.
27, Take a picture of your purchases.
28, Take a picture of a dog.
29, Take a picture of your city which shows its unique spirit.  
